
Found 9 files in total.
=========================================================================================================

FILE: 000044_COLLECTION_BACCARA_BAND_362_-_Maureen_Smith,_Jennifer_Greene,_Andrea_Lau.json
Total chunks: 46
CHUNK ID                                           | TYPE                 | STRATEGY             | LENGTH
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part39 | novel                | implicit_chapter_stars | 6206
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part40 | novel                | implicit_chapter_stars | 13721
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part41 | novel                | implicit_chapter_stars | 7949
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part42 | novel                | implicit_chapter_stars | 2370
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part43 | novel                | implicit_chapter_stars | 7441
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_05_part44 | novel                | implicit_chapter_stars | 2395
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_06 | preview              | non-chapter          | 1007
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_07 | feedback             | non-chapter          | 1117
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_08 | reading-sample       | non-chapter          | 3833
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry_09 | chapter              | explicit_chapter     | 200
=========================================================================================================

FILE: 000533_Kufsteiner_Das-Berghotel-112_9783732528110.json
Total chunks: 25
CHUNK ID                                           | TYPE                 | STRATEGY             | LENGTH
---------------------------------------------------------------------------------------------------------
000533_Kufsteiner_Das-Berghotel-112_9783732528110_02 | toc                  | non-chapter          | 333
000533_Kufsteiner_Das-Berghotel-112_9783732528110_03 | imprint              | non-chapter          | 2390
000533_Kufsteiner_Das-Berghotel-112_9783732528110_04 | prelude              | non-chapter          | 3029
000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part01 | novel                | implicit_chapter_stars | 3902
000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part02 | novel                | implicit_chapter_stars | 22443
000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part03 | novel                | implicit_chapter_stars | 20003
000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part04 | novel                | implicit_chapter_stars | 15024
000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part05 | novel                | implicit_chapter_stars | 22701
000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part06 | novel                | implicit_chapter_stars | 25337
000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part07 | novel                | implicit_chapter_stars | 13504
000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part08 | novel                | implicit_chapter_stars | 14313
000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part09 | novel                | implicit_chapter_stars | 14237
000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part10 | novel                | implicit_chapter_stars | 20028
000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part11 | novel                | implicit_chapter_stars | 33606
000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part12 | novel                | implicit_chapter_stars | 10501
000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part13 | novel                | implicit_chapter_stars | 16727
000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part14 | novel                | implicit_chapter_stars | 12289
000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part15 | novel                | implicit_chapter_stars | 15874
000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part16 | novel                | implicit_chapter_stars | 10984
000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part17 | novel                | implicit_chapter_stars | 18015
000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part18 | novel                | implicit_chapter_stars | 7483
000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part19 | novel                | implicit_chapter_stars | 12976
000533_Kufsteiner_Das-Berghotel-112_9783732528110_06 | preview              | non-chapter          | 3011
000533_Kufsteiner_Das-Berghotel-112_9783732528110_07 | feedback             | non-chapter          | 1307
000533_Kufsteiner_Das-Berghotel-112_9783732528110_08 | reading-sample       | non-chapter          | 6864
=========================================================================================================

FILE: 000796_Seeberg_Fuersten-Roman-2631_9783751711548.json
Total chunks: 41
CHUNK ID                                           | TYPE                 | STRATEGY             | LENGTH
---------------------------------------------------------------------------------------------------------
000796_Seeberg_Fuersten-Roman-2631_9783751711548_01 | cover                | non-chapter          | 231
000796_Seeberg_Fuersten-Roman-2631_9783751711548_02 | toc                  | non-chapter          | 316
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part01 | novel                | implicit_chapter_jpg | 18501
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part02 | novel                | implicit_chapter_jpg | 13821
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part03 | novel                | implicit_chapter_jpg | 9404
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part04 | novel                | implicit_chapter_jpg | 6973
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part05 | novel                | implicit_chapter_jpg | 7552
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part06 | novel                | implicit_chapter_jpg | 7234
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part07 | novel                | implicit_chapter_jpg | 7016
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part08 | novel                | implicit_chapter_jpg | 8263
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part09 | novel                | implicit_chapter_jpg | 6827
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part10 | novel                | implicit_chapter_jpg | 8716
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part11 | novel                | implicit_chapter_jpg | 8698
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part12 | novel                | implicit_chapter_jpg | 19544
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part13 | novel                | implicit_chapter_jpg | 5997
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part14 | novel                | implicit_chapter_jpg | 16961
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part15 | novel                | implicit_chapter_jpg | 8056
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part16 | novel                | implicit_chapter_jpg | 5834
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part17 | novel                | implicit_chapter_jpg | 8388
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part18 | novel                | implicit_chapter_jpg | 17287
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part19 | novel                | implicit_chapter_jpg | 5438
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part20 | novel                | implicit_chapter_jpg | 8336
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part21 | novel                | implicit_chapter_jpg | 13391
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part22 | novel                | implicit_chapter_jpg | 10891
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part23 | novel                | implicit_chapter_jpg | 16910
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part24 | novel                | implicit_chapter_jpg | 7607
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part25 | novel                | implicit_chapter_jpg | 12466
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part26 | novel                | implicit_chapter_jpg | 5389
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part27 | novel                | implicit_chapter_jpg | 3496
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part28 | novel                | implicit_chapter_jpg | 5558
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part29 | novel                | implicit_chapter_jpg | 7428
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part30 | novel                | implicit_chapter_jpg | 14621
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part31 | novel                | implicit_chapter_jpg | 8375
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part32 | novel                | implicit_chapter_jpg | 5790
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part33 | novel                | implicit_chapter_jpg | 6259
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part34 | novel                | implicit_chapter_jpg | 2748
000796_Seeberg_Fuersten-Roman-2631_9783751711548_03_part35 | novel                | implicit_chapter_jpg | 3159
000796_Seeberg_Fuersten-Roman-2631_9783751711548_04 | preview              | non-chapter          | 2768
000796_Seeberg_Fuersten-Roman-2631_9783751711548_05 | feedback             | non-chapter          | 326
000796_Seeberg_Fuersten-Roman-2631_9783751711548_06 | imprint              | non-chapter          | 1911
000796_Seeberg_Fuersten-Roman-2631_9783751711548_07 | reading-sample       | non-chapter          | 5756
=========================================================================================================

FILE: 000837_Stern_Maddrax-347_9783838733357.json
Total chunks: 45
CHUNK ID                                           | TYPE                 | STRATEGY             | LENGTH
---------------------------------------------------------------------------------------------------------
000837_Stern_Maddrax-347_9783838733357_02          | toc                  | non-chapter          | 435
000837_Stern_Maddrax-347_9783838733357_03          | imprint              | non-chapter          | 2632
000837_Stern_Maddrax-347_9783838733357_04          | unkown               | non-chapter          | 7828
000837_Stern_Maddrax-347_9783838733357_05          | prelude              | non-chapter          | 1488
000837_Stern_Maddrax-347_9783838733357_06_part01   | novel                | implicit_chapter_jpg | 19883
000837_Stern_Maddrax-347_9783838733357_06_part02   | novel                | implicit_chapter_jpg | 3467
000837_Stern_Maddrax-347_9783838733357_06_part03   | novel                | implicit_chapter_jpg | 13392
000837_Stern_Maddrax-347_9783838733357_06_part04   | novel                | implicit_chapter_jpg | 6850
000837_Stern_Maddrax-347_9783838733357_06_part05   | novel                | implicit_chapter_jpg | 3291
000837_Stern_Maddrax-347_9783838733357_06_part06   | novel                | implicit_chapter_jpg | 6327
000837_Stern_Maddrax-347_9783838733357_06_part07   | novel                | implicit_chapter_jpg | 12413
000837_Stern_Maddrax-347_9783838733357_06_part08   | novel                | implicit_chapter_jpg | 9842
000837_Stern_Maddrax-347_9783838733357_06_part09   | novel                | implicit_chapter_jpg | 5426
000837_Stern_Maddrax-347_9783838733357_06_part10   | novel                | implicit_chapter_jpg | 8462
000837_Stern_Maddrax-347_9783838733357_06_part11   | novel                | implicit_chapter_jpg | 6705
000837_Stern_Maddrax-347_9783838733357_06_part12   | novel                | implicit_chapter_jpg | 6888
000837_Stern_Maddrax-347_9783838733357_06_part13   | novel                | implicit_chapter_jpg | 4966
000837_Stern_Maddrax-347_9783838733357_06_part14   | novel                | implicit_chapter_jpg | 8955
000837_Stern_Maddrax-347_9783838733357_06_part15   | novel                | implicit_chapter_jpg | 9320
000837_Stern_Maddrax-347_9783838733357_06_part16   | novel                | implicit_chapter_jpg | 12443
000837_Stern_Maddrax-347_9783838733357_06_part17   | novel                | implicit_chapter_jpg | 9555
000837_Stern_Maddrax-347_9783838733357_06_part18   | novel                | implicit_chapter_jpg | 4017
000837_Stern_Maddrax-347_9783838733357_06_part19   | novel                | implicit_chapter_jpg | 5979
000837_Stern_Maddrax-347_9783838733357_06_part20   | novel                | implicit_chapter_jpg | 1911
000837_Stern_Maddrax-347_9783838733357_06_part21   | novel                | implicit_chapter_jpg | 15199
000837_Stern_Maddrax-347_9783838733357_06_part22   | novel                | implicit_chapter_jpg | 7184
000837_Stern_Maddrax-347_9783838733357_06_part23   | novel                | implicit_chapter_jpg | 2465
000837_Stern_Maddrax-347_9783838733357_06_part24   | novel                | implicit_chapter_jpg | 4699
000837_Stern_Maddrax-347_9783838733357_06_part25   | novel                | implicit_chapter_jpg | 13045
