ID	Title	Publisher	Series	Date	publisher_tier	book_type	series_size_category	sampling_strategy	temporal_position
1318625580	Dr. Stefan Frank 2745	Bastei Lübbe	?	2024.0	A	Standalone		Random (Standalone)	
1318626633	Herz voll Rache, Herz voll Liebe?	CORA Verlag	?	2024.0	A	Standalone		Random (Standalone)	
1325206172	H. C. Hollister 108	Bastei Lübbe	?	2024.0	A	Standalone		Random (Standalone)	
1325206180	Die UFO-AKTEN 66	Bastei Lübbe	?	2024.0	A	Standalone		Random (Standalone)	
1325802301	Die neue Praxis Dr. Norden 51 – Arztserie	Kelter Media	?	2024.0	A	Standalone		Random (Standalone)	
1325805599	Verliebt in einen Vagabunden	Kelter Media	?	2024.0	A	Standalone		Random (Standalone)	
1331173140	Wildwest-Roman – Unsterbliche Helden 44	Bastei Lübbe	?	2024.0	A	Standalone		Random (Standalone)	
1331820804	Jede Liebe fordert Opfer	Kelter Media	?	2024.0	A	Standalone		Random (Standalone)	
1331822734	Vernunft und Liebe	Kelter Media	?	2024.0	A	Standalone		Random (Standalone)	
1334169950	G. F. Unger Western-Bestseller 2676	Bastei Lübbe	?	2024.0	A	Standalone		Random (Standalone)	
133417086X	Die UFO-AKTEN 72	Bastei Lübbe	?	2024.0	A	Standalone		Random (Standalone)	
1334832854	Für ein neues Glück mit dir	Kelter Media	?	2024.0	A	Standalone		Random (Standalone)	
133483413X	Du bist mein ganzes Glück	Kelter Media	?	2024.0	A	Standalone		Random (Standalone)	
1336811943	Das Haus Zamis 97	Bastei Lübbe	?	2024.0	A	Standalone		Random (Standalone)	
1336812575	Julia Ärzte zum Verlieben Band 192	CORA Verlag	?	2024.0	A	Standalone		Random (Standalone)	
1336812621	H. C. Hollister 115	Bastei Lübbe	?	2024.0	A	Standalone		Random (Standalone)	
134240288X	Brennende Sehnsucht in der Villa am Meer	CORA Verlag	?	2024.0	A	Standalone		Random (Standalone)	
1345154453	Historical Weihnachten Band 17	CORA Verlag	?	2024.0	A	Standalone		Random (Standalone)	
1095886843	XXL-Leseprobe - Cash Landing - Der Preis des Geldes	HarperCollins	?		B	Standalone		Random (Standalone)	
1116720140	Das Flüstern der Stille : Thriller	HarperCollins	?		B	Standalone		Random (Standalone)	
1129459063	Rechne immer mit dem Schlimmsten	HarperCollins	?		B	Standalone		Random (Standalone)	
1131359925	Gefahr am Airport	HarperCollins	?		B	Standalone		Random (Standalone)	
1163608343	Mordstrand	LYX.digital	?	2016.0	B	Standalone		Random (Standalone)	
1165576147	Suzanne	Bastei Entertainment	?	2018.0	B	Standalone		Random (Standalone)	
1165576473	G. F. Unger Sonder-Edition Großband 3 - Western-Sammelband	Bastei Entertainment	?	2018.0	B	Standalone		Random (Standalone)	
1166659348	Der Notarzt Sammelband 1 - Arztroman	Bastei Entertainment	?	2018.0	B	Standalone		Random (Standalone)	
1167518616	Die schwarze Zauberin	HarperCollins	?		B	Standalone		Random (Standalone)	
1175427926	Der Schmetterling : Schweden Krimi Neuerscheinung 2018	HarperCollins	?		B	Standalone		Random (Standalone)	
1175428035	Die Macht der Affäre. Warum wir betrügen und was wir daraus lernen können. : Sachbuch	HarperCollins	?		B	Standalone		Random (Standalone)	
1176524666	Hot as Ice - Heißkalt verfallen	LYX.digital	?	2019.0	B	Standalone		Random (Standalone)	
1180390008	London Sins - The Confession	LYX.digital	?	2019.0	B	Standalone		Random (Standalone)	
1181793610	Der Spion des Königs	Bastei Entertainment	?	2019.0	B	Standalone		Random (Standalone)	
1181793688	G. F. Unger Sonder-Edition Großband 6 - Western-Sammelband	Bastei Entertainment	?	2019.0	B	Standalone		Random (Standalone)	
1185491120	Irresistible - Ein Single-Daddy zum Verlieben	LYX.digital	?	2019.0	B	Standalone		Random (Standalone)	
1186715278	Familienromane fürs Herz 1 - Sammelband	Bastei Entertainment	?	2019.0	B	Standalone		Random (Standalone)	
1189670399	G. F. Unger Sonder-Edition Collection 15 - Western-Sammelband	Bastei Entertainment	?	2019.0	B	Standalone		Random (Standalone)	
1191759180	Der Spion mit dem Strumpfband/ Die Schmugglerlady	beHEARTBEAT	?	2019.0	B	Standalone		Random (Standalone)	
1191759881	Heimat-Roman Treueband 5 - Sammelband	Bastei Entertainment	?	2019.0	B	Standalone		Random (Standalone)	
1193258103	Wo sich die Sterne spiegeln	HarperCollins	?	2019.0	B	Standalone		Random (Standalone)	
